station_name,monthly_entries_exits,target_population,competitor_count,real_estate_cost_index,transport_access_index
中山,3149548.5,61311,964,83.87096774193549,0.6
中山國中,754137.42,61311,964,83.87096774193549,0.1
中山國小,1015958.5,61311,964,83.87096774193549,0.4
中正紀念堂,1654994.58,39767,411,90.32258064516128,0.7
信義安和,1115829.42,74003,742,100.0,0.6
內湖,602801.08,84685,474,59.67741935483871,0.2
公館,1626029.75,39767,411,90.32258064516128,0.4
六張犁,624239.58,74003,742,100.0,0.1
劍南路,690529.92,61311,964,83.87096774193549,0.3
劍潭,1618248.83,75633,365,61.29032258064516,0.3
動物園,388988.08,76182,340,50.0,0.2
北投,1087195.67,70117,379,53.225806451612904,0.2
北門,1034890.67,34909,276,69.35483870967742,0.3
南京三民,1365781.92,51578,478,82.25806451612902,0.4
南京復興,2442411.67,61311,964,83.87096774193549,0.8
南港,1521631.33,35117,181,58.064516129032256,0.2
南港展覽館,2083127.17,35117,181,58.064516129032256,0.8
南港軟體園區,462878.5,35117,181,58.064516129032256,0.2
古亭,1834262.83,39767,411,90.32258064516128,0.9
台北101/世貿,2038392.33,59207,493,93.54838709677419,0.5
台北小巨蛋,1273221.92,51578,478,82.25806451612902,0.5
台北車站,9132591.33,39767,411,90.32258064516128,0.8
台大醫院,1285413.92,39767,411,90.32258064516128,0.4
台電大樓,929495.83,39767,411,90.32258064516128,0.5
唭哩岸,416011.83,70117,379,53.225806451612904,0.2
善導寺,1311800.92,39767,411,90.32258064516128,0.6
國父紀念館,1683259.25,59207,493,93.54838709677419,0.5
圓山,1681433.75,61311,964,83.87096774193549,0.2
士林,1667201.58,75633,365,61.29032258064516,0.2
大安,1413856.17,74003,742,100.0,0.6
大安森林公園,576021.0,74003,742,100.0,0.6
大橋頭,799437.75,34909,276,69.35483870967742,0.4
大湖公園,206895.42,84685,474,59.67741935483871,0.2
大直,514322.58,61311,964,83.87096774193549,0.3
奇岩,485332.17,70117,379,53.225806451612904,0.1
小南門,580752.42,39767,411,90.32258064516128,0.4
市政府,3774462.42,59207,493,93.54838709677419,0.4
後山埤,979879.92,59207,493,93.54838709677419,0.4
復興崗,230506.67,70117,379,53.225806451612904,0.2
忠孝復興,2717801.25,74003,742,100.0,0.5
忠孝敦化,1957405.42,74003,742,100.0,0.8
忠孝新生,2149656.17,74003,742,100.0,0.7
忠義,179263.33,70117,379,53.225806451612904,0.2
文德,329717.25,84685,474,59.67741935483871,0.2
新北投,335110.08,70117,379,53.225806451612904,0.1
昆陽,852552.0,35117,181,58.064516129032256,0.4
明德,729533.92,70117,379,53.225806451612904,0.3
景美,950090.0,76182,340,50.0,0.3
木柵,256003.08,76182,340,50.0,0.1
東湖,511206.17,84685,474,59.67741935483871,0.3
東門,1587382.83,39767,411,90.32258064516128,0.8
松山,1535964.75,51578,478,82.25806451612902,0.5
松山機場,312480.5,51578,478,82.25806451612902,0.3
松江南京,2179723.58,61311,964,83.87096774193549,0.8
民權西路,1404554.25,61311,964,83.87096774193549,1.0
永春,1187119.25,59207,493,93.54838709677419,0.5
港墘,924036.67,84685,474,59.67741935483871,0.2
石牌,1671574.5,70117,379,53.225806451612904,0.2
科技大樓,814987.0,74003,742,100.0,0.1
芝山,1355893.5,75633,365,61.29032258064516,0.2
萬芳社區,137344.0,76182,340,50.0,0.1
萬芳醫院,669563.58,76182,340,50.0,0.1
萬隆,607142.67,76182,340,50.0,0.4
葫洲,491514.92,84685,474,59.67741935483871,0.2
行天宮,1589597.58,61311,964,83.87096774193549,0.4
西湖,767343.17,84685,474,59.67741935483871,0.2
西門,4174602.58,39767,411,90.32258064516128,0.6
象山,801450.92,59207,493,93.54838709677419,0.3
辛亥,198047.92,76182,340,50.0,0.1
關渡,749720.25,70117,379,53.225806451612904,0.2
雙連,1302488.0,34909,276,69.35483870967742,0.2
麟光,255279.0,74003,742,100.0,0.1
龍山寺,1720686.5,49733,420,66.12903225806451,0.3
