station_name,monthly_entries_exits,target_population,competitor_count,real_estate_cost_index,transport_access_index,accessible_demand,competition_adjusted_customers,estimated_monthly_revenue,estimated_gross_profit,operating_cost_proxy,feasibility_ratio,economic_opportunity_index,profit_gap_proxy,break_even_capture_rate,location_score,recommendation_reason
萬隆,607142.67,76182.0,340.0,50.0,0.4,21073.83,8817.11,1410736.89,874656.87,585000.0,1.4951,100.0,289656.87,0.2798,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
景美,950090.0,76182.0,340.0,50.0,0.3,20631.61,8632.08,1381133.06,856302.5,585000.0,1.4638,100.0,271302.5,0.2858,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
動物園,388988.08,76182.0,340.0,50.0,0.2,19641.26,8217.73,1314836.65,815198.72,585000.0,1.3935,100.0,230198.72,0.3002,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
萬芳醫院,669563.58,76182.0,340.0,50.0,0.1,19154.24,8013.96,1282233.95,794985.05,585000.0,1.3589,100.0,209985.05,0.3079,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
木柵,256003.08,76182.0,340.0,50.0,0.1,18917.68,7914.99,1266398.24,785166.91,585000.0,1.3422,100.0,200166.91,0.3117,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
辛亥,198047.92,76182.0,340.0,50.0,0.1,18884.53,7901.12,1264179.07,783791.02,585000.0,1.3398,100.0,198791.02,0.3123,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
萬芳社區,137344.0,76182.0,340.0,50.0,0.1,18849.81,7886.59,1261854.64,782349.88,585000.0,1.3374,100.0,197349.88,0.3129,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
劍潭,1618248.83,75633.0,365.0,61.29032258064516,0.3,20895.36,8365.55,1338487.44,829862.21,635806.45,1.3052,100.0,194055.76,0.3067,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
士林,1667201.58,75633.0,365.0,61.29032258064516,0.2,20257.44,8110.15,1297624.55,804527.22,635806.45,1.2654,100.0,168720.77,0.3164,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
芝山,1355893.5,75633.0,365.0,61.29032258064516,0.2,20073.3,8036.43,1285829.24,797214.13,635806.45,1.2539,100.0,161407.67,0.3193,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
明德,729533.92,70117.0,379.0,53.225806451612904,0.3,18900.54,7387.77,1182043.31,732866.85,599516.13,1.2224,100.0,133350.72,0.3198,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
石牌,1671574.5,70117.0,379.0,53.225806451612904,0.2,18854.55,7369.79,1179166.98,731083.53,599516.13,1.2195,100.0,131567.4,0.3205,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
東湖,511206.17,84685.0,474.0,59.67741935483871,0.3,22601.44,7599.3,1215887.55,753850.28,628548.39,1.1994,100.0,125301.89,0.2803,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
北投,1087195.67,70117.0,379.0,53.225806451612904,0.2,18508.89,7234.68,1157549.33,717680.59,599516.13,1.1971,100.0,118164.46,0.3265,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
關渡,749720.25,70117.0,379.0,53.225806451612904,0.2,18309.27,7156.66,1145065.27,709940.46,599516.13,1.1842,100.0,110424.34,0.3301,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
港墘,924036.67,84685.0,474.0,59.67741935483871,0.2,22124.31,7438.87,1190219.25,737935.94,628548.39,1.174,100.0,109387.55,0.2864,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
唭哩岸,416011.83,70117.0,379.0,53.225806451612904,0.2,18111.88,7079.5,1132720.55,702286.74,599516.13,1.1714,100.0,102770.61,0.3337,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
西湖,767343.17,84685.0,474.0,59.67741935483871,0.2,22031.62,7407.71,1185233.13,734844.54,628548.39,1.1691,100.0,106296.15,0.2876,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
復興崗,230506.67,70117.0,379.0,53.225806451612904,0.2,18002.16,7036.61,1125858.25,698032.11,599516.13,1.1643,100.0,98515.98,0.3357,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
內湖,602801.08,84685.0,474.0,59.67741935483871,0.2,21934.29,7374.98,1179997.26,731598.3,628548.39,1.1639,100.0,103049.91,0.2889,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
忠義,179263.33,70117.0,379.0,53.225806451612904,0.2,17971.85,7024.77,1123962.63,696856.83,599516.13,1.1624,100.0,97340.7,0.3363,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
葫洲,491514.92,84685.0,474.0,59.67741935483871,0.2,21868.47,7352.85,1176456.03,729402.74,628548.39,1.1605,100.0,100854.35,0.2897,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
文德,329717.25,84685.0,474.0,59.67741935483871,0.2,21772.77,7320.67,1171307.49,726210.64,628548.39,1.1554,100.0,97662.26,0.291,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
大湖公園,206895.42,84685.0,474.0,59.67741935483871,0.2,21700.12,7296.24,1167399.19,723787.5,628548.39,1.1515,100.0,95239.11,0.292,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
奇岩,485332.17,70117.0,379.0,53.225806451612904,0.1,17554.44,6861.61,1097857.91,680671.9,599516.13,1.1354,100.0,81155.78,0.3443,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
南港展覽館,2083127.17,35117.0,181.0,58.064516129032256,0.8,12193.6,7085.24,1133638.73,702856.01,621290.32,1.1313,100.0,81565.69,0.5136,100.0,clears cost proxy under current assumptions; strong demand-to-competition gap
新北投,335110.08,70117.0,379.0,53.225806451612904,0.1,17468.51,6828.03,1092484.02,677340.09,599516.13,1.1298,100.0,77823.96,0.346,100.0,clears cost proxy under current assumptions; low break-even capture requirement; large accessible demand base
昆陽,852552.0,35117.0,181.0,58.064516129032256,0.4,10075.31,5854.38,936701.16,580754.72,621290.32,0.9348,93.48,-40535.6,0.6216,93.48,near break-even under conservative assumptions; strong demand-to-competition gap
南港,1521631.33,35117.0,181.0,58.064516129032256,0.2,9847.86,5722.22,915554.71,567643.92,621290.32,0.9137,91.37,-53646.4,0.636,91.37,near break-even under conservative assumptions; strong demand-to-competition gap
台北車站,9132591.33,39767.0,411.0,90.32258064516128,0.8,18607.33,6898.0,1103680.65,684282.0,766451.61,0.8928,89.28,-82169.61,0.4152,89.28,near break-even under conservative assumptions; large accessible demand base
南港軟體園區,462878.5,35117.0,181.0,58.064516129032256,0.2,9221.6,5358.33,857332.07,531545.88,621290.32,0.8556,85.56,-89744.44,0.6792,85.56,near break-even under conservative assumptions; strong demand-to-competition gap
龍山寺,1720686.5,49733.0,420.0,66.12903225806451,0.3,14141.07,5167.01,826721.39,512567.26,657580.65,0.7795,77.95,-145013.38,0.4688,77.95,moderate feasibility with execution sensitivity
市政府,3774462.42,59207.0,493.0,93.54838709677419,0.4,18460.42,6036.24,965799.18,598795.49,780967.74,0.7667,76.67,-182172.25,0.4265,76.67,moderate feasibility with execution sensitivity; large accessible demand base
台北101/世貿,2038392.33,59207.0,493.0,93.54838709677419,0.5,17902.92,5853.95,936632.04,580711.87,780967.74,0.7436,74.36,-200255.88,0.4397,74.36,moderate feasibility with execution sensitivity; large accessible demand base
國父紀念館,1683259.25,59207.0,493.0,93.54838709677419,0.5,17672.08,5778.47,924555.3,573224.29,780967.74,0.734,73.4,-207743.46,0.4455,73.4,moderate feasibility with execution sensitivity; large accessible demand base
永春,1187119.25,59207.0,493.0,93.54838709677419,0.5,17349.59,5673.02,907683.44,562763.74,780967.74,0.7206,72.06,-218204.01,0.4538,72.06,moderate feasibility with execution sensitivity; large accessible demand base
忠孝敦化,1957405.42,74003.0,742.0,100.0,0.8,23972.54,5726.06,916168.92,568024.73,810000.0,0.7013,70.13,-241975.27,0.3406,70.13,moderate feasibility with execution sensitivity; low break-even capture requirement; large accessible demand base
松山,1535964.75,51578.0,478.0,82.25806451612902,0.5,15440.22,5160.79,825726.63,511950.51,730161.29,0.7011,70.11,-218210.78,0.4767,70.11,moderate feasibility with execution sensitivity; large accessible demand base
大橋頭,799437.75,34909.0,276.0,69.35483870967742,0.4,9985.33,4715.92,754546.46,467818.81,672096.77,0.6961,69.61,-204277.97,0.6785,69.61,moderate feasibility with execution sensitivity
後山埤,979879.92,59207.0,493.0,93.54838709677419,0.4,16698.44,5460.11,873616.93,541642.5,780967.74,0.6936,69.36,-239325.24,0.4715,69.36,moderate feasibility with execution sensitivity; large accessible demand base
台北小巨蛋,1273221.92,51578.0,478.0,82.25806451612902,0.5,15269.43,5103.71,816593.34,506287.87,730161.29,0.6934,69.34,-223873.42,0.482,69.34,moderate feasibility with execution sensitivity; large accessible demand base
忠孝新生,2149656.17,74003.0,742.0,100.0,0.7,23445.2,5600.1,896015.57,555529.65,810000.0,0.6858,68.58,-254470.35,0.3483,68.58,moderate feasibility with execution sensitivity; low break-even capture requirement; large accessible demand base
北門,1034890.67,34909.0,276.0,69.35483870967742,0.3,9820.37,4638.01,742080.96,460090.19,672096.77,0.6846,68.46,-212006.58,0.6899,68.46,moderate feasibility with execution sensitivity
西門,4174602.58,39767.0,411.0,90.32258064516128,0.6,14263.7,5287.76,846041.29,524545.6,766451.61,0.6844,68.44,-241906.01,0.5417,68.44,moderate feasibility with execution sensitivity
南京三民,1365781.92,51578.0,478.0,82.25806451612902,0.4,14869.71,4970.1,795216.53,493034.25,730161.29,0.6752,67.52,-237127.04,0.495,67.52,moderate feasibility with execution sensitivity
雙連,1302488.0,34909.0,276.0,69.35483870967742,0.2,9665.23,4564.74,730358.32,452822.16,672096.77,0.6737,67.37,-219274.62,0.701,67.37,moderate feasibility with execution sensitivity
象山,801450.92,59207.0,493.0,93.54838709677419,0.3,16072.97,5255.59,840894.22,521354.41,780967.74,0.6676,66.76,-259613.33,0.4898,66.76,moderate feasibility with execution sensitivity; large accessible demand base
古亭,1834262.83,39767.0,411.0,90.32258064516128,0.9,13806.27,5118.18,818909.46,507723.87,766451.61,0.6624,66.24,-258727.75,0.5596,66.24,moderate feasibility with execution sensitivity
忠孝復興,2717801.25,74003.0,742.0,100.0,0.5,22487.41,5371.32,859411.19,532834.94,810000.0,0.6578,65.78,-277165.06,0.3631,65.78,moderate feasibility with execution sensitivity; large accessible demand base
大安,1413856.17,74003.0,742.0,100.0,0.6,22289.04,5323.94,851830.04,528134.62,810000.0,0.652,65.2,-281865.38,0.3663,65.2,moderate feasibility with execution sensitivity; large accessible demand base
信義安和,1115829.42,74003.0,742.0,100.0,0.6,22089.51,5276.28,844204.55,523406.82,810000.0,0.6462,64.62,-286593.18,0.3696,64.62,large accessible demand base
東門,1587382.83,39767.0,411.0,90.32258064516128,0.8,13261.55,4916.25,786599.46,487691.66,766451.61,0.6363,63.63,-278759.95,0.5826,63.63,"needs stronger capture, ticket size, or rent assumptions"
大安森林公園,576021.0,74003.0,742.0,100.0,0.6,21728.11,5189.95,830392.7,514843.48,810000.0,0.6356,63.56,-295156.52,0.3758,63.56,large accessible demand base
松山機場,312480.5,51578.0,478.0,82.25806451612902,0.3,13766.26,4601.28,736204.9,456447.04,730161.29,0.6251,62.51,-273714.25,0.5347,62.51,"needs stronger capture, ticket size, or rent assumptions"
中正紀念堂,1654994.58,39767.0,411.0,90.32258064516128,0.7,12943.14,4798.21,767713.06,475982.1,766451.61,0.621,62.1,-290469.52,0.5969,62.1,"needs stronger capture, ticket size, or rent assumptions"
善導寺,1311800.92,39767.0,411.0,90.32258064516128,0.6,12347.05,4577.23,732356.79,454061.21,766451.61,0.5924,59.24,-312390.4,0.6258,59.24,"needs stronger capture, ticket size, or rent assumptions"
公館,1626029.75,39767.0,411.0,90.32258064516128,0.4,11825.93,4384.04,701446.66,434896.93,766451.61,0.5674,56.74,-331554.68,0.6533,56.74,"needs stronger capture, ticket size, or rent assumptions"
台電大樓,929495.83,39767.0,411.0,90.32258064516128,0.5,11738.93,4351.79,696286.51,431697.64,766451.61,0.5632,56.32,-334753.98,0.6582,56.32,"needs stronger capture, ticket size, or rent assumptions"
台大醫院,1285413.92,39767.0,411.0,90.32258064516128,0.4,11611.17,4304.43,688708.42,426999.22,766451.61,0.5571,55.71,-339452.39,0.6654,55.71,"needs stronger capture, ticket size, or rent assumptions"
科技大樓,814987.0,74003.0,742.0,100.0,0.1,18700.51,4466.79,714685.61,443105.08,810000.0,0.547,54.7,-366894.92,0.4366,54.7,large accessible demand base
六張犁,624239.58,74003.0,742.0,100.0,0.1,18591.4,4440.72,710515.8,440519.8,810000.0,0.5439,54.39,-369480.2,0.4392,54.39,large accessible demand base
麟光,255279.0,74003.0,742.0,100.0,0.1,18380.36,4390.31,702450.19,435519.12,810000.0,0.5377,53.77,-374480.88,0.4442,53.77,large accessible demand base
小南門,580752.42,39767.0,411.0,90.32258064516128,0.4,11166.88,4139.72,662355.73,410660.55,766451.61,0.5358,53.58,-355791.06,0.6919,53.58,"needs stronger capture, ticket size, or rent assumptions"
民權西路,1404554.25,61311.0,964.0,83.87096774193549,1.0,20792.05,3977.2,636352.16,394538.34,737419.35,0.535,53.5,-342881.01,0.3575,53.5,large accessible demand base
南京復興,2442411.67,61311.0,964.0,83.87096774193549,0.8,20442.57,3910.35,625656.12,387906.79,737419.35,0.526,52.6,-349512.56,0.3636,52.6,large accessible demand base
松江南京,2179723.58,61311.0,964.0,83.87096774193549,0.8,20256.45,3874.75,619959.98,384375.19,737419.35,0.5212,52.12,-353044.17,0.367,52.12,large accessible demand base
中山,3149548.5,61311.0,964.0,83.87096774193549,0.6,19790.72,3785.66,605705.86,375537.64,737419.35,0.5093,50.93,-361881.72,0.3756,50.93,large accessible demand base
行天宮,1589597.58,61311.0,964.0,83.87096774193549,0.4,17654.31,3377.0,540319.96,334998.38,737419.35,0.4543,45.43,-402420.98,0.4211,45.43,large accessible demand base
中山國小,1015958.5,61311.0,964.0,83.87096774193549,0.4,17292.63,3307.82,529250.56,328135.35,737419.35,0.445,44.5,-409284.01,0.4299,44.5,large accessible demand base
圓山,1681433.75,61311.0,964.0,83.87096774193549,0.2,16616.61,3178.5,508560.63,315307.59,737419.35,0.4276,42.76,-422111.76,0.4474,42.76,large accessible demand base
劍南路,690529.92,61311.0,964.0,83.87096774193549,0.3,16558.97,3167.48,506796.47,314213.81,737419.35,0.4261,42.61,-423205.54,0.4489,42.61,large accessible demand base
大直,514322.58,61311.0,964.0,83.87096774193549,0.3,16451.31,3146.88,503501.4,312170.87,737419.35,0.4233,42.33,-425248.49,0.4519,42.33,large accessible demand base
中山國中,754137.42,61311.0,964.0,83.87096774193549,0.1,15538.4,2972.26,475561.3,294848.0,737419.35,0.3998,39.98,-442571.35,0.4784,39.98,large accessible demand base
